"","lambda","GCV","term","estimate","scale"
"1",0.529078760627969,0.000832275606033182,"X4",-0.502414860225017,0.893521449624327
"2",0.529078760627969,0.000832275606033182,"X7",2.10134099480445,1.17763469581778
"3",0.529078760627969,0.000832275606033182,"X8",0.369174235324376,0.960313073537088
"4",0.529078760627969,0.000832275606033182,"X10",0.505774138719246,0.962993056499903
"5",0.529078760627969,0.000832275606033182,"X11",0.00172797556591925,1.08532589461603
"6",0.529078760627969,0.000832275606033182,"X12",-0.357198796205064,1.13287473222918
"7",0.529078760627969,0.000832275606033182,"X14",-0.760374086072174,1.13244285688303
"8",0.529078760627969,0.000832275606033182,"X15",-0.581784306768606,1.13225775823116
"9",0.529078760627969,0.000832275606033182,"X16",6.76474401280693,1.10808804256284
"10",0.529078760627969,0.000832275606033182,"X18",-6.92373226189953,1.1121610523762
"11",0.529078760627969,0.000832275606033182,"X22",-0.11735482415711,1.19629783387515
"12",0.529078760627969,0.000832275606033182,"X29",0.11645756975602,1.0721913267501
"13",0.529078760627969,0.000832275606033182,"X30",1.0006100310898,1.06866774497479
"14",0.529078760627969,0.000832275606033182,"X31",-0.470998309493073,1.12237001212381
"15",0.529078760627969,0.000832275606033182,"X36",0.924942450622885,1.17100101265953
"16",0.529078760627969,0.000832275606033182,"X37",-1.63753367097357,0.740515343837605
"17",0.529078760627969,0.000832275606033182,"X38",0.641967882519161,1.17253926890197
"18",0.529078760627969,0.000832275606033182,"X45",2.20026495184689,0.718825878691317
"19",0.529078760627969,0.000832275606033182,"X47",-0.811225005402912,1.13855124008855
"20",0.529078760627969,0.000832275606033182,"X55",0.279191918418126,1.15103697433152
"21",0.529078760627969,0.000832275606033182,"X57",-0.498370712503571,0.715379072821729
"22",0.529078760627969,0.000832275606033182,"X61",-0.0981980686906497,1.01912935411065
"23",0.529078760627969,0.000832275606033182,"X65",0.00757824916398401,0.897264290069851
"24",0.529078760627969,0.000832275606033182,"X66",-2.12969490331139,0.880505401266898
